Census,pop,power converted,actual power,census_lat,census_long,Socioeconomic,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,SVI,disadvantaged,d,Bus,Latitude,Longitude
48029192200,2398,5.76,5.020517647,29.33899714,-98.45730373,0.5713,0.1392,0.6414,0.8901,0.6125,0,27,4055,27.819419,-97.392456
48479001716,6095,14.64,12.76048235,27.58526537,-99.52153472,0.6266,0.2758,0.9445,0.6374,0.664,1,28,4055,27.819419,-97.392456
48029171501,2516,6.04,4.647005236,29.4156617,-98.5812807,0.8438,0.5403,0.8782,0.874,0.8804,1,29,4064,27.8322,-97.5281
48355003500,2256,5.42,4.169994764,27.80303467,-97.52148307,0.6676,0.793,0.518,0.7124,0.7033,0,29,4064,27.8322,-97.5281
48215022300,10752,25.83,28.12707692,26.14007434,-98.0027776,0.4041,0.9362,0.698,0.6269,0.669,1,30,4066,26.158622,-97.989155
48215022800,8921,21.43,23.33578236,26.08929088,-98.00151494,0.8701,0.5574,0.9375,0.5003,0.7909,1,30,4066,26.158622,-97.989155
48215024402,8530,20.49,22.31218762,26.2620626,-98.00610045,0.9488,0.3484,0.9403,0.4955,0.7882,1,30,4066,26.158622,-97.989155
48215023103,7636,18.35,19.98187617,26.192841,-97.95086454,0.9048,0.8364,0.9273,0.9252,0.9658,1,30,4066,26.158622,-97.989155
48215022501,7220,17.35,18.89294559,26.20652098,-97.97542492,0.8432,0.9558,0.9673,0.743,0.9401,1,30,4066,26.158622,-97.989155
48215022402,6878,16.52,17.98913321,26.20390849,-98.00419753,0.7104,0.8987,0.8856,0.5316,0.7997,1,30,4066,26.158622,-97.989155
48215022502,5667,13.62,14.83123452,26.17128956,-97.97280616,0.8803,0.9395,0.9122,0.8513,0.9595,1,30,4066,26.158622,-97.989155
48215022401,5368,12.9,14.0472045,26.17183313,-98.00090263,0.8672,0.8793,0.9246,0.7903,0.9303,1,30,4066,26.158622,-97.989155
48215022701,5366,12.89,14.0363152,26.14893096,-97.97547824,0.7075,0.6882,0.7462,0.9912,0.9086,1,30,4066,26.158622,-97.989155
48215022702,4939,11.87,12.925606,26.12799695,-97.97586584,0.8325,0.9245,0.8145,0.7052,0.8961,1,30,4066,26.158622,-97.989155
48215022600,1932,4.64,5.052637899,26.16437802,-97.98664063,0.8641,0.814,0.9438,0.1851,0.7333,1,30,4066,26.158622,-97.989155
48479001812,9029,21.69,159.456,27.47724551,-99.4510547,0.816,0.8052,0.8747,0.7322,0.8692,1,31,4067,26.255523,-97.667502
48479001004,1646,3.95,3.5375568,27.50578271,-99.4695333,0.6826,0.6914,0.9749,0.8891,0.8704,1,32,4068,26.307831,-98.039361
48215024500,8799,21.14,18.93264576,26.29331306,-97.96115051,0.9311,0.9818,0.9524,0.7681,0.9747,1,33,4068,26.307831,-98.039361
